0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:27:29 +0900] "GET /BootstrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:27:29 +0900] "GET /BootstrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:32:04 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:32:06 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:32:06 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:32:06 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:32:06 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:33:14 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3232
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:33:42 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3446
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:36:33 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:36:33 +0900] "GET /BootstrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:36:33 +0900] "GET /BootstrapWork/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:36:33 +0900] "GET /BootstrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:37:48 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3856
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:39:11 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:39:48 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 3953
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:03 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:03 +0900] "GET /BootstrapWork/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:03 +0900] "GET /BootstrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:03 +0900] "GET /BootstrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:19 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:19 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:20 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:50:20 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:51:47 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 5043
0:0:0:0:0:0:0:1 - - [12/Jun/2019:11:52:01 +0900] "GET /BootstrapWork/BootEx03.html HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:08:41 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:08:41 +0900] "GET /BootstrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:08:41 +0900] "GET /BootstrapWork/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:08:41 +0900] "GET /BootstrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:09:20 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:10:08 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:11:01 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:14:39 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:14:50 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:14:50 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:14:50 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2019:12:14:50 +0900] "GET /BootstrapWork/BootEx04.html HTTP/1.1" 304 -
